"is_read","title","message","type","user_id","id","created_date","updated_date","created_by_id","created_by","is_sample"
"false","❌ Task Rejected","""Data Entry"" rejected. Reason: You have made several mistakes in the task. Please review your report file carefully.      https://drive.google.com/file/d/1PlMov0CHVU-9obHEYC1qBQoKuNXHeWcE/view?usp=drivesdk","rejection","69e080c316eada7181a563d4","6a2c2f599871a1b746af4120","2026-06-12T16:10:01.477000","2026-06-12T16:10:01.477000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"false","✅ Task Approved!","Data Entry approved! ₹200 credited to your wallet.","approval","69e618e0cd9ea118cc9f4bff","6a2c27447120d9892ac95abf","2026-06-12T15:35:32.342000","2026-06-12T15:35:32.342000","anonymous","anonymous","false"
"false","❌ Task Rejected","""Data Entry"" rejected. Reason: You have made several mistakes in the task. Please review your report file carefully.        https://drive.google.com/file/d/1Q8F0yUogNh7-HVqlGxXYd38_eBOdFiFD/view?usp=drivesdk","rejection","69e618e0cd9ea118cc9f4bff","6a2c26becfa308fe7cf0f5c6","2026-06-12T15:33:18.245000","2026-06-12T15:33:18.245000","anonymous","anonymous","false"
"false","💰 ₹12750 Added to Wallet","Task Reward
. New Balance: ₹12750.00","bonus","6a2574f260a9a0a25f7b25f8","6a25758bb7dd1bb02942ca09","2026-06-07T13:43:39.184000","2026-06-07T13:43:39.184000","anonymous","anonymous","false"
"false","💰 ₹14575 Added to Wallet","Task Reward. New Balance: ₹14575.00","bonus","6a2574c6a424997daa4b9a5d","6a257573587da57dcc1bdffa","2026-06-07T13:43:15.655000","2026-06-07T13:43:15.655000","anonymous","anonymous","false"
"false","💰 ₹16800 Added to Wallet","Task Reward. New Balance: ₹16800.00","bonus","6a2570e981b4a9953d44b40d","6a25744a40918096b95b89ac","2026-06-07T13:38:18.670000","2026-06-07T13:38:18.670000","anonymous","anonymous","false"
"false","💰 ₹18025 Added to Wallet","Task Reward. New Balance: ₹18025.00","bonus","6a257079e13c7177b3471746","6a25743209e0c8121fabf090","2026-06-07T13:37:54.042000","2026-06-07T13:37:54.042000","anonymous","anonymous","false"
"false","💰 ₹19250 Added to Wallet","Task Reward. New Balance: ₹19250.00","bonus","6a257035d67d10b4f8427529","6a257418ecf8a69c3cfd411f","2026-06-07T13:37:28.977000","2026-06-07T13:37:28.977000","anonymous","anonymous","false"
"false","💰 ₹20475 Added to Wallet","Task Reward. New Balance: ₹20475.00","bonus","6a256fea2312360cf26c18fc","6a2573f8569a4b132dc4371c","2026-06-07T13:36:56.636000","2026-06-07T13:36:56.636000","anonymous","anonymous","false"
"false","💰 ₹21700 Added to Wallet","Task Reward. New Balance: ₹21700.00","bonus","6a256ea5b8b6597cff6a910c","6a2573d1c56135e0e615cc7a","2026-06-07T13:36:17.226000","2026-06-07T13:36:17.226000","anonymous","anonymous","false"
"false","💰 ₹22925 Added to Wallet","Task Rewards. New Balance: ₹22925.00","bonus","6a256ddc5e9da4d2ac5ea3f3","6a257369beab5eea85a1fa57","2026-06-07T13:34:33.522000","2026-06-07T13:34:33.522000","anonymous","anonymous","false"
"false","💰 ₹23750 Added to Wallet","Task Earnings. New Balance: ₹23750.00","bonus","6a256d8dcdc52d4f2beb1124","6a25732eb1bc237e5b49c4c8","2026-06-07T13:33:34.474000","2026-06-07T13:33:34.474000","anonymous","anonymous","false"
"false","❌ Task Rejected","""Form Filling"" rejected. Reason: you have submitted the same excel sheet that was given to you to complete the task. please complete the task from the excel sheet in the portal the submit your work file","rejection","69de121de938868996f01133","6a206e8c045bc42850ab5c4e","2026-06-03T18:12:28.406000","2026-06-03T18:12:28.406000","anonymous","anonymous","false"
